Item,Amount #,CAD Cost ($) ,Usage:,Link,Notes:
1kg Green PETG,1,$23.99,"This is all the filament for my printer, I'll probably prototype using a different color I already have but I want all green",https://www.amazon.ca/Polymaker-Filament-Strength-Excellent-Compatible/dp/B0FG3KK26X/ref=sr_1_3_sspa?crid=1SKHF5LRBJUKV&dib=eyJ2IjoiMSJ9._OTHglEp-UImHGwfDbM03eH21uVeGe5-UWm7BkmZ8BOSzn49eBl9DGlYdh-xEKnlIPWz9W7xA052R_J4rd1E56B00jJLNkspI0jeM4atXyRIIVd9EpTaTcV0e3p0uOUHsJXJNPDIoqMA_GwtAFMOzI4smd2iWI0E-U1y9gZKMvLtlDKVN-PXq2lzymiLj-VWvulg0MobNDFVlEONPR-nq60c9qrKqOMAi5biPdN9dIBQelzzfu5NGsVijoW7DGepnh2b-Mtfe3YdgBNbUNY9-ZptAxoWudNP0LxMjZj2qLA.WqfHKb7ExIkqy1j4WZfQzig_TvUR_VZOePo2DhTGeEY&dib_tag=se&keywords=green%2BPETG&qid=1782557785&sprefix=green%2Bpetg%2Caps%2C233&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
Loctite Blue 243,1,$16.61,Loctite for the shoulder bolts and other components,https://www.amazon.ca/Threadlocker-Strength-Fasteners-Against-Losening/dp/B0C8Z81WQL/ref=sr_1_1_sspa?crid=1FULOOJZFY4ZB&dib=eyJ2IjoiMSJ9.zUKP_6Djv54lWa1aG4H_gK4UZf4JmH7RoVqo04bMTP5ib4cNup_8n2nlLUkNh_Je1oXKs14UuQZRlLUEtStIQ-2Hero_pDPvaRClL6fGiLwnHwRqBg34qny8BGvFlZbkY17BixP-vsleckFNPQQ-Bp36joljGpwOL6Q-FcooRtG3csAcDPJTQBem3uVmyKF-uyExOX-Ocqg7T9GhaRofhdWEY4IZWIO1R_Iiw3Ie7ZUtm8J1XsHwUgmCmB15YyEcAc7SSvVvG1GdzdAyGLDeVBQfHd9pcxOgSRRdG6eW0Fw.Bb56HmGz6JfOUC_-ko7vo6t-7l6MHb19S5ygcybiQeU&dib_tag=se&keywords=Loctite%2BBlue%2B243&qid=1782603206&sprefix=loctite%2Bblue%2B243%2Caps%2C166&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
,,,,,
,,,,,
,,,,,
,Total Theorized Cost (CAD):,$704.92,,,
,Total Theorized Cost (USD):,$496.61,,,
,,,,,
,,,,,
,Aliexpress Cart (CAD):,$512.15,,,
,Amazon Cart (CAD):,$134.56,,,
,PCBWay Cart (CAD):,$0.00,Sponsored,,
,Actual Cost (CAD): ,$646.71,,,
,Actual Cost (USD):,$455.61,,,
